"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andaman & Nicobar","South Andamans","2023-04-23","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-24","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-25","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-26","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-27","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-28","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-29","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-30","2023","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-04-01","2023","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-01","2023","04","17.1626386096","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-02","2023","04","17.0181057513","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-03","2023","04","16.8806211435","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-04","2023","04","16.7512484147","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-05","2023","04","16.6987408842","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-06","2023","04","16.5742739005","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-07","2023","04","16.4873095973","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-08","2023","04","16.3775359845","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-09","2023","04","16.2821316035","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-10","2023","04","16.1879524808","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-11","2023","04","16.095369775","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-12","2023","04","16.0184719943","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-13","2023","04","15.929499704","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-14","2023","04","15.8468083525","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-15","2023","04","15.7714345621","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-16","2023","04","15.6949012974","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-17","2023","04","15.6360968878","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-18","2023","04","15.5699585983","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-19","2023","04","15.5037793515","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-20","2023","04","15.4369557649","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-21","2023","04","15.3874540745","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-22","2023","04","16.2750011056","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-23","2023","04","16.5945108224","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-24","2023","04","16.43221454","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-25","2023","04","16.973504533","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-04-26","2023","04","17.1081189279","NRSC VIC MODEL"
